playeryrID,yearID,stint,teamID,lgID,ERA,Salary
2010martean01,2010,1,CLE,AL,0,413.4
2010inglejo01,2010,1,MIL,NL,0,416
2011kellesh01,2011,1,SEA,AL,0,420
2011mccoymi01,2011,1,TOR,AL,0,422.3
2011kellydo01,2011,1,DET,AL,0,423
2011medlekr01,2011,1,ATL,NL,0,429.5
2011maiermi01,2011,1,KCA,AL,0,459
2012runzlda01,2012,1,SFN,NL,0,483
2012davisch02,2012,1,BAL,AL,0,488
2012mathejo02,2012,1,CHN,NL,0,490
2013pryorst01,2013,1,SEA,AL,0,492.2
2012thompri03,2012,2,OAK,AL,0,495
2013tomlijo01,2013,1,CLE,AL,0,501.8
2014maldoma01,2014,1,MIL,NL,0,502
2013harrijo05,2013,1,PIT,NL,0,503
2014brittdr01,2014,1,BOS,AL,0,503
2013wellsca01,2013,2,CHA,AL,0,505.4
2016holtty01,2016,1,CIN,NL,0,508
2016winklda01,2016,1,ATL,NL,0,508.5
2014gimench01,2014,1,TEX,AL,0,510
2015deckeja01,2015,1,PIT,NL,0,510
2016reaco01,2016,2,MIA,NL,0,510.2
2016bethach01,2016,1,SDN,NL,0,511.2
2016sardilu01,2016,1,SEA,AL,0,512
2016phegljo01,2016,1,OAK,AL,0,512.5
2015moorety01,2015,1,WAS,NL,0,518.2
2016holadbr01,2016,1,TEX,AL,0,519
2016goinsry01,2016,1,TOR,AL,0,520.2
2015robincl01,2015,1,WAS,NL,0,525
2016smithca02,2016,1,BOS,AL,0,529
2015robinsh01,2015,1,MIN,AL,0,550
2013rapadcl01,2013,1,CLE,AL,0,553.625
2011valdewi01,2011,1,PHI,NL,0,560
2013woodbl01,2013,1,CLE,AL,0,560
2015jimence01,2015,1,PHI,NL,0,575
2013fuldsa01,2013,1,TBA,AL,0,725
2015colemlo01,2015,1,KCA,AL,0,725
2016scribev01,2016,1,SEA,AL,0,807.5
2013narvech01,2013,1,MIL,NL,0,840
2016kratzer01,2016,2,PIT,NL,0,850
2012maiermi01,2012,1,KCA,AL,0,865
2014bakerjo01,2014,1,CHN,NL,0,875
2016rominan01,2016,1,DET,AL,0,900
2015guerrja01,2015,1,CHA,AL,0,937.5
2010lopezfe01,2010,1,SLN,NL,0,1000
2010buchhta01,2010,2,TOR,AL,0,1055
2015amarial01,2015,1,SDN,NL,0,1150
2016buterdr01,2016,1,KCA,AL,0,1162.5
2014outmajo01,2014,2,NYA,AL,0,1250
2015frasoja01,2015,2,ATL,NL,0,1250
2014descada01,2014,1,SLN,NL,0,1290
2015ottavad01,2015,1,COL,NL,0,1300
2013mcdonjo03,2013,3,PHI,NL,0,1500
2013schumsk01,2013,1,LAN,NL,0,1500
2014overbly01,2014,1,MIL,NL,0,1500
2014arencjp01,2014,1,TEX,AL,0,1800
2011milletr02,2011,3,BOS,AL,0,2000
2014schumsk01,2014,1,CIN,NL,0,2000
2015ryanbr01,2015,1,NYA,AL,0,2000
2016escobed01,2016,1,MIN,AL,0,2150
2015stammcr01,2015,1,WAS,NL,0,2250
2015raburry01,2015,1,CLE,AL,0,2500
2015rossda01,2015,1,CHN,NL,0,2500
2015mejiaje01,2015,1,NYN,NL,0,2595
2015denorch01,2015,1,CHN,NL,0,2600
2014morelmi01,2014,1,TEX,AL,0,2650
2010milesaa01,2010,1,SLN,NL,0,2700
2013felizne01,2013,1,TEX,AL,0,2900
2014thornma01,2014,2,WAS,NL,0,3500
2013carroja01,2013,1,MIN,AL,0,3750
2015davisik02,2015,1,OAK,AL,0,3800
2015jonesga02,2015,1,NYA,AL,0,5000
2013murphda07,2013,1,TEX,AL,0,5775
2015murphda07,2015,1,CLE,AL,0,6000
2010hallbi03,2010,1,BOS,AL,0,8525
2010fuentbr01,2010,2,MIN,AL,0,9000
2015nathajo01,2015,1,DET,AL,0,10000
2015ramiral03,2015,1,CHA,AL,0,10000
2011cuddymi01,2011,1,MIN,AL,0,10500
2015larocad01,2015,1,CHA,AL,0,12000
2016rodnefe01,2016,1,SDN,NL,0.31,1600
2016benoijo01,2016,2,TOR,AL,0.38,7500
2016brittza01,2016,1,BAL,AL,0.54,6750
2012rodnefe01,2012,1,TBA,AL,0.6,1750
2014morribr01,2014,2,MIA,NL,0.66,511.5
2010ramirra02,2010,2,SFN,NL,0.67,1155
2012albural01,2012,1,DET,AL,0.68,495
2010woodke02,2010,2,NYA,AL,0.69,10500
2011stroppe01,2011,2,BAL,AL,0.73,416
2013crainje01,2013,1,CHA,AL,0.74,4500
2015rodnefe01,2015,2,CHN,NL,0.75,7000
2013dukeza01,2013,2,CIN,NL,0.84,700
2014gorzeto01,2014,1,MIL,NL,0.86,2950
2013jeffrje01,2013,1,TOR,AL,0.87,495.9
2015waldejo01,2015,1,SLN,NL,0.87,2675
2013rzepcma01,2013,2,CLE,AL,0.89,1100
2010youngch03,2010,1,SDN,NL,0.9,6375
2016ravinjo01,2016,1,LAN,NL,0.93,515
2013burnese01,2013,1,LAA,AL,0.93,3625
2015daviswa01,2015,1,KCA,AL,0.94,7000
2011bulgeja01,2011,1,LAA,AL,0.96,423
2011oflaher01,2011,1,ATL,NL,0.98,895
2014daviswa01,2014,1,KCA,AL,1,4800
2012kimbrcr01,2012,1,ATL,NL,1.01,590
2016chapmar01,2016,2,CHN,NL,1.01,9468.443
2012mujiced01,2012,2,SLN,NL,1.03,1625
2014matthry01,2014,1,WAS,NL,1.04,520
2013farnsky01,2013,2,PIT,NL,1.04,1250
2011cramebo01,2011,1,OAK,AL,1.08,414
2011roberda08,2011,1,NYA,AL,1.08,460.45
2013ueharko01,2013,1,BOS,AL,1.09,4250
2014streehu01,2014,1,SDN,NL,1.09,7000
2016bedroca01,2016,1,LAA,AL,1.12,510.5
2014storedr01,2014,1,WAS,NL,1.12,3450
2011adamsmi03,2011,1,SDN,NL,1.13,2535
2015dysonsa01,2015,2,TEX,AL,1.15,507.5
2015reedad01,2015,2,NYN,NL,1.17,4875
2010kuoho01,2010,1,LAN,NL,1.2,950
2013hollagr01,2013,1,KCA,AL,1.21,539.5
2013kimbrcr01,2013,1,ATL,NL,1.21,655
2015alberma01,2015,1,CHA,AL,1.21,1500
2010thatcjo01,2010,1,SDN,NL,1.29,412.7
2014jennida01,2014,1,MIA,NL,1.34,501.5
2011downssc01,2011,1,LAA,AL,1.34,5000
2016simmosh01,2016,1,ATL,NL,1.35,508
2014millean01,2014,2,BAL,AL,1.35,1900
2013melanma01,2013,1,PIT,NL,1.39,521
2013nathajo01,2013,1,TEX,AL,1.39,8000
2016millean01,2016,1,NYA,AL,1.39,9000
2014betande01,2014,1,NYA,AL,1.4,502.1
2011lidgebr01,2011,1,PHI,NL,1.4,12000
2014herreke01,2014,1,KCA,AL,1.41,522.5
2010lopezja02,2010,2,SFN,NL,1.42,775
2015howeljp01,2015,1,LAN,NL,1.43,4000
2010wagnebi02,2010,1,ATL,NL,1.43,6750
2014hollagr01,2014,1,KCA,AL,1.44,4675
2010bailean01,2010,1,OAK,AL,1.47,435
2014benoijo01,2014,1,SDN,NL,1.49,6000
2011romose01,2011,1,SFN,NL,1.5,450
2013cedenxa01,2013,2,WAS,NL,1.5,495.9
2015betande01,2015,1,NYA,AL,1.5,507.5
2015carpeda01,2015,2,WAS,NL,1.5,1300
2011strasst01,2011,1,WAS,NL,1.5,4375
2012chapmar01,2012,1,CIN,NL,1.51,4835.772
2016melanma01,2016,1,PIT,NL,1.51,9650
2013avilalu01,2013,1,ATL,NL,1.52,491.25
2015odayda01,2015,1,BAL,AL,1.52,4250
2016zieglbr01,2016,2,BOS,AL,1.52,5500
2016oteroda01,2016,1,CLE,AL,1.53,520
2014frasoja01,2014,2,KCA,AL,1.53,1750
2015frasoja01,2015,1,KCA,AL,1.54,1250
2016rzepcma01,2016,2,WAS,NL,1.54,2950
2016millean01,2016,2,CLE,AL,1.55,9000
2012medlekr01,2012,1,ATL,NL,1.57,490
2014abadfe01,2014,1,OAK,AL,1.57,525.9
2012atchisc01,2012,1,BOS,AL,1.58,510
2015papeljo01,2015,1,PHI,NL,1.59,13000
2015lopezja02,2015,1,SFN,NL,1.6,4000
2015jepseke01,2015,2,MIN,AL,1.61,3025
2014kimbrcr01,2014,1,ATL,NL,1.61,7000
2015wainwad01,2015,1,SLN,NL,1.61,19500
2014watsoto01,2014,1,PIT,NL,1.63,518.5
2015chapmar01,2015,1,CIN,NL,1.63,8050
2011johnsjo09,2011,1,FLO,NL,1.64,7750
2014brittza01,2014,1,BAL,AL,1.65,521.5
2015greinza01,2015,1,LAN,NL,1.66,25000
2015stromma01,2015,1,TOR,AL,1.67,514.7
2015rondohe01,2015,1,CHN,NL,1.67,544
2012paulife01,2012,1,KCA,AL,1.67,1900
2011cashnan01,2011,1,CHN,NL,1.69,427.5
2016kershcl01,2016,1,LAN,NL,1.69,33000
2014smylydr01,2014,2,TBA,AL,1.7,520
2014odayda01,2014,1,BAL,AL,1.7,3200
2014garcija01,2014,1,SFN,NL,1.7,4500
2010perezch01,2010,1,CLE,AL,1.71,423.8
2013torreal01,2013,1,TBA,AL,1.71,496.5
