playeryrID,yearID,stint,teamID,lgID,ERA,Salary
2010ambrihe01,2010,1,CLE,AL,5.59,400
2010berkeja01,2010,1,BAL,AL,3.03,400
2010burneal01,2010,1,MIN,AL,5.29,400
2010detwiro01,2010,1,WAS,NL,4.25,400
2010englije01,2010,1,WAS,NL,3.86,400
2010garcija02,2010,1,SLN,NL,2.7,400
2010herndda01,2010,1,PHI,NL,4.3,400
2010mathejo02,2010,1,SLN,NL,9,400
2010monasca01,2010,1,LAN,NL,4.38,400
2010norbejo01,2010,1,ARI,NL,5.85,400
2010ondrulo01,2010,1,CIN,NL,3.68,400
2010rossty01,2010,1,OAK,AL,5.49,400
2010russeja02,2010,1,CHN,NL,4.96,400
2010santose01,2010,1,CHA,AL,2.96,400
2010texeika01,2010,1,SEA,AL,5.3,400
2010texeika01,2010,2,KCA,AL,4.64,400
2010hughedu01,2010,1,KCA,AL,3.83,400.5
2010joaquwa01,2010,1,SFN,NL,9.64,400.5
2010runzlda01,2010,1,SFN,NL,3.03,400.5
2010talbomi01,2010,1,CLE,AL,4.41,400.7
2010carpean01,2010,1,PHI,NL,9,401
2010clippty01,2010,1,WAS,NL,3.07,401
2010norribu01,2010,1,HOU,NL,4.92,401
2010rogeres01,2010,1,COL,NL,6.13,401
2010ramosce01,2010,1,SDN,NL,11.88,401.3
2010mccutda01,2010,1,PIT,NL,6.12,401.5
2010boggsmi01,2010,1,SLN,NL,3.61,402
2010felizne01,2010,1,TEX,AL,2.73,402
2010hawksbl01,2010,1,SLN,NL,4.98,402
2010niesejo01,2010,1,NYN,NL,4.2,402
2010pennha01,2010,1,PIT,NL,30.86,402
2010stammcr01,2010,1,WAS,NL,5.13,402
2010gervasa01,2010,1,HOU,NL,12.27,402.5
2010hernada01,2010,1,BAL,AL,4.31,402.5
2010ekstrmi01,2010,1,TBA,AL,3.31,402.7
2010bergju01,2010,1,CHN,NL,5.18,403
2010carides01,2010,1,CHN,NL,11.25,403
2010kenneia01,2010,1,ARI,NL,3.8,403
2010bonined01,2010,1,DET,AL,4.63,404
2010daleyma01,2010,1,COL,NL,4.24,404
2010rzepcma01,2010,1,TOR,AL,4.95,404
2010vasques01,2010,1,ARI,NL,5.2,404.5
2010daviswa01,2010,1,TBA,AL,4.07,404.9
2010bastaan01,2010,1,PHI,NL,4.34,405
2010bergebr02,2010,1,BAL,AL,4.98,405
2010blevije01,2010,1,OAK,AL,3.7,405
2010gonzagi01,2010,1,OAK,AL,3.23,405
2010moralfr01,2010,1,COL,NL,6.28,406
2010smithgr02,2010,1,COL,NL,6.23,406
2010harrima01,2010,1,TEX,AL,4.71,406.09
2010mendolu01,2010,1,KCA,AL,22.5,406.21
2010fistedo01,2010,1,SEA,AL,4.11,406.5
2010narvech01,2010,1,MIL,NL,4.99,406.5
2010sippto01,2010,1,CLE,AL,4.14,407.3
2010mathido01,2010,1,TEX,AL,6.04,407.4
2010badenbu01,2010,1,FLO,NL,3.99,407.5
2010medlekr01,2010,1,ATL,NL,3.68,407.5
2010nifu01,2010,1,DET,AL,6.65,407.5
2010latosma01,2010,1,SDN,NL,2.92,407.8
2010romerri01,2010,1,TOR,AL,3.73,408.3
2010perryry01,2010,1,DET,AL,3.59,408.5
2010rosalle01,2010,1,ARI,NL,7.16,409.5
2010valdeme01,2010,1,TOR,AL,20.25,409.5
2010morrobr01,2010,1,TOR,AL,4.49,409.8
2010hunteto02,2010,1,TEX,AL,3.73,409.85
2010anderbr04,2010,1,OAK,AL,2.8,410
2010cahiltr01,2010,1,OAK,AL,2.97,410
2010reyesjo03,2010,1,ATL,NL,24.3,410
2010zieglbr01,2010,1,OAK,AL,3.26,410
2010huffda01,2010,1,CLE,AL,6.21,410.7
2010gutieju01,2010,1,ARI,NL,5.08,411
2010haegech01,2010,1,LAN,NL,8.4,411
2010mockga01,2010,1,WAS,NL,5.4,411
2010motteja01,2010,1,SLN,NL,2.24,411
2010belisro01,2010,1,LAN,NL,5.04,412.5
2010herreda01,2010,1,CIN,NL,3.91,412.5
2010kellesh01,2010,1,SEA,AL,3.96,412.5
2010sanchbr01,2010,1,FLO,NL,2.26,412.5
2010vargaja01,2010,1,SEA,AL,3.78,412.5
2010thatcjo01,2010,1,SDN,NL,1.29,412.7
2010martean01,2010,1,CLE,AL,0,413.4
2010gallase01,2010,1,SDN,NL,5.4,413.5
2010gallase01,2010,2,PIT,NL,6.03,413.5
2010meekev01,2010,1,PIT,NL,2.14,413.5
2010nievefe01,2010,1,NYN,NL,6,414
2011adcocna01,2011,1,KCA,AL,4.62,414
2011augenbr01,2011,1,SLN,NL,9.53,414
2011beatope01,2011,1,NYN,NL,4.3,414
2011brodebr01,2011,1,WAS,NL,6.57,414
2011cassebo01,2011,1,LAA,AL,2.72,414
2011colliti01,2011,1,KCA,AL,3.63,414
2011cramebo01,2011,1,OAK,AL,1.08,414
2011crottmi01,2011,1,PIT,NL,9.28,414
2011dunnmi01,2011,1,FLO,NL,3.43,414
2011kintzbr01,2011,1,MIL,NL,3.68,414
2011kohnmi01,2011,1,LAA,AL,7.3,414
2011lecursa01,2011,1,CIN,NL,3.71,414
2011luekejo01,2011,1,SEA,AL,6.06,414
2011paterjo01,2011,1,ARI,NL,2.91,414
2011pinedmi01,2011,1,SEA,AL,3.74,414
2011rodrian01,2011,1,HOU,NL,5.27,414
2011tobinma01,2011,1,TEX,AL,6.75,414
2011villabr02,2011,1,DET,AL,6.75,414
2011waldejo01,2011,1,LAA,AL,2.98,414
2011webbry01,2011,1,FLO,NL,3.2,414
2011wilheto01,2011,1,SEA,AL,3.31,414
2011pestavi01,2011,1,CLE,AL,2.32,414.1
2011dedunsa01,2011,1,SDN,NL,3,414.24
2011jeffrje01,2011,1,KCA,AL,4.7,414.5
2011lincobr01,2011,1,PIT,NL,4.72,414.5
2010litscje01,2010,1,TOR,AL,5.79,414.7
2010chaveje01,2010,1,ATL,NL,5.89,415
2010chaveje01,2010,2,KCA,AL,5.88,415
2010jepseke01,2010,1,LAA,AL,3.97,415
2010meyerda02,2010,1,FLO,NL,9.64,415
2010paulife01,2010,1,HOU,NL,5.11,415
2010whitese02,2010,1,SEA,AL,5.24,415
2010willira01,2010,1,CHA,AL,5.4,415
2011malonma02,2011,1,CIN,NL,9.16,415
2011reynoma02,2011,1,COL,NL,4.09,415
2011rodrihe03,2011,1,WAS,NL,3.56,415
2011zimmejo02,2011,1,WAS,NL,3.18,415
2010staufti01,2010,1,SDN,NL,1.85,415.1
2011mcgeeja01,2011,1,TBA,AL,4.5,415.2
2010bardda01,2010,1,BOS,AL,1.93,415.5
2011germaju01,2011,1,CLE,AL,5.68,415.6
2011luebkco01,2011,1,SDN,NL,3.29,415.6
2011carraca01,2011,1,CLE,AL,4.62,415.8
2010inglejo01,2010,1,MIL,NL,0,416
2010troncra01,2010,1,LAN,NL,4.33,416
2011ascanjo01,2011,1,PIT,NL,7.11,416
2011drabeky01,2011,1,TOR,AL,6.06,416
2011janseke01,2011,1,LAN,NL,2.85,416
2011stroppe01,2011,1,TEX,AL,3.72,416
2011stroppe01,2011,2,BAL,AL,0.73,416
2010gregelu01,2010,1,SDN,NL,3.22,416.5
2010romose01,2010,1,SFN,NL,2.18,416.5
2011beachbr01,2011,1,ATL,NL,3.68,416.5
2011smithjo06,2011,1,CIN,NL,7.2,416.5
2011ramosce01,2011,1,TBA,AL,3.92,416.7
2010sonnaan01,2010,1,TBA,AL,4.44,416.9
2011delroen01,2011,1,HOU,NL,4.58,417
2011demelsa01,2011,1,ARI,NL,4.21,417
2011doubrfe01,2011,1,BOS,AL,6.1,417
2011mateoma01,2011,1,CHN,NL,4.3,417
2011mickoka01,2011,1,ARI,NL,6.75,417
2011rogeres01,2011,1,COL,NL,7.05,417
2011tillmch01,2011,1,BAL,AL,5.52,417
2011frierer01,2011,1,SDN,NL,2.71,417.1
2011tomlijo01,2011,1,CLE,AL,4.25,417.2
2010duensbr01,2010,1,MIN,AL,2.62,417.5
2010baileho02,2010,1,CIN,NL,4.46,418
2010bulgeja01,2010,1,LAA,AL,4.88,418
2011abadfe01,2011,1,HOU,NL,7.32,418
2011enrigba01,2011,1,ARI,NL,7.41,418
2011ondrulo01,2011,1,CIN,NL,3.23,418
2011schleda01,2011,1,DET,AL,3.49,418
2011storedr01,2011,1,WAS,NL,2.75,418
2011thompri03,2011,1,LAA,AL,3,418
2011hellije01,2011,1,TBA,AL,2.95,418.4
2011runzlda01,2011,1,SFN,NL,6.26,418.5
2011arrieja01,2011,1,BAL,AL,5.05,419
2011bastaan01,2011,1,PHI,NL,2.64,419
2011chacijh01,2011,1,COL,NL,3.62,419
2011hudsoda01,2011,1,ARI,NL,3.49,419
2011kimbrcr01,2011,1,ATL,NL,2.1,419
2011manshje01,2011,1,MIN,AL,8.1,419
2011marticr01,2011,1,ATL,NL,3.36,419
2010evelada01,2010,1,TOR,AL,6.45,419.5
2010evelada01,2010,2,PIT,NL,8.38,419.5
2010mujiced01,2010,1,SDN,NL,3.62,419.8
2011herrmfr01,2011,1,CLE,AL,5.11,419.8
2010atchisc01,2010,1,BOS,AL,4.5,420
2010bradeda01,2010,1,OAK,AL,3.5,420
2010palmema01,2010,1,LAA,AL,4.54,420
2010stettmi01,2010,1,MIL,NL,14.73,420
2010volstch01,2010,1,FLO,NL,4.58,420
2011blevije01,2011,1,OAK,AL,2.86,420
2011gonzagi01,2011,1,OAK,AL,3.12,420
2011kellesh01,2011,1,SEA,AL,0,420
2011osullse01,2011,1,KCA,AL,7.25,420.5
2011russead01,2011,1,TBA,AL,3.03,420.8
2011melanma01,2011,1,HOU,NL,2.78,421
2010laffeaa01,2010,1,CLE,AL,4.53,421.9
2011pauleda01,2011,1,SEA,AL,2.15,422
2011pauleda01,2011,2,DET,AL,5.95,422
2011mccoymi01,2011,1,TOR,AL,0,422.3
2010lewisje01,2010,1,CLE,AL,2.97,422.4
2010mortoch02,2010,1,PIT,NL,7.57,422.5
2011woodtr01,2011,1,CIN,NL,4.84,422.5
2011bulgeja01,2011,1,LAA,AL,0.96,423
2011kellydo01,2011,1,DET,AL,0,423
2011kenneia01,2011,1,ARI,NL,2.88,423
2011hernada01,2011,1,ARI,NL,3.38,423.5
2010richacl01,2010,1,SDN,NL,3.75,423.7
2010perezch01,2010,1,CLE,AL,1.71,423.8
2011braddza01,2011,1,MIL,NL,7.27,424
2011moralfr01,2011,1,COL,NL,3.86,424
2011moralfr01,2011,2,BOS,AL,3.62,424
2010breslcr01,2010,1,OAK,AL,3.01,425
2010cokeph01,2010,1,DET,AL,3.76,425
2010fulchje01,2010,1,HOU,NL,5.51,425
2010henslcl01,2010,1,FLO,NL,2.16,425
2010mccleky01,2010,1,SLN,NL,2.27,425
2011herndda01,2011,1,PHI,NL,3.32,425
2011leakemi01,2011,1,CIN,NL,3.86,425
2011salech01,2011,1,CHA,AL,2.79,425
2011sanchbr01,2011,1,FLO,NL,3.94,425
2011hawksbl01,2011,1,LAN,NL,4.08,426
2011texeika01,2011,1,KCA,AL,2.84,426
2011berkeja01,2011,1,BAL,AL,5.36,426.5
2010roberda08,2010,1,NYA,AL,3.82,426.65
2010odayda01,2010,1,TEX,AL,2.03,426.7
2010masteju01,2010,1,CLE,AL,4.7,427
2010wellsra01,2010,1,CHN,NL,4.26,427
2011stettmi01,2011,1,MIL,NL,5.14,427
2010ramired01,2010,1,OAK,AL,4.91,427.4
2010smithjo05,2010,1,CLE,AL,3.83,427.5
2011cashnan01,2011,1,CHN,NL,1.69,427.5
2011russeja02,2011,1,CHN,NL,4.12,427.5
2011harrima01,2011,1,TEX,AL,3.39,428.83
2011hughedu01,2011,1,MIN,AL,9.95,429
2011medlekr01,2011,1,ATL,NL,0,429.5
2011ventejo01,2011,1,ATL,NL,1.84,429.5
2011rzepcma01,2011,1,TOR,AL,2.97,429.6
2011rzepcma01,2011,2,SLN,NL,3.97,429.6
2010mijarjo01,2010,1,MIN,AL,3.31,430
2011olsonga01,2011,1,PIT,NL,2.08,430
2011perryry01,2011,1,DET,AL,5.35,430
2011ogandal01,2011,1,TEX,AL,3.51,430.15
2011gutieju01,2011,1,ARI,NL,5.4,430.5
2011boggsmi01,2011,1,SLN,NL,3.56,431
2011resopch01,2011,1,PIT,NL,4.39,431.5
2011laffeaa01,2011,1,SEA,AL,4.01,431.6
2011laffeaa01,2011,2,NYA,AL,3.38,431.6
2011talbomi01,2011,1,CLE,AL,6.64,431.7
2011hollade01,2011,1,TEX,AL,3.95,431.81
2011novaiv01,2011,1,NYA,AL,3.7,432.9
2011parnebo01,2011,1,NYN,NL,3.64,433.5
2011thatcjo01,2011,1,SDN,NL,4.5,433.9
2011bergebr02,2011,1,BAL,AL,5.7,434
2011daviswa01,2011,1,TBA,AL,4.45,434.1
2010bailean01,2010,1,OAK,AL,1.47,435
2010hansoto01,2010,1,ATL,NL,3.33,435
2010stokebr01,2010,1,LAA,AL,8.1,435
2011gonzaen01,2011,1,DET,AL,10,435
2011jepseke01,2011,1,LAA,AL,7.62,435
2011motteja01,2011,1,SLN,NL,2.25,435
2011santose01,2011,1,CHA,AL,3.55,435
2010aceveal01,2010,1,NYA,AL,3,435.65
2011purceda01,2011,1,TOR,AL,11.57,436.4
2011purceda01,2011,2,OAK,AL,2.13,436.4
2011purceda01,2011,3,DET,AL,7.23,436.4
2011fistedo01,2011,1,SEA,AL,3.33,436.5
2011fistedo01,2011,2,DET,AL,1.79,436.5
2011sippto01,2011,1,CLE,AL,3.03,436.8
2011garcija02,2011,1,SLN,NL,3.56,437
2011norribu01,2011,1,HOU,NL,3.77,437.5
2010ohlenro01,2010,1,PIT,NL,4.07,439
2011reyesjo03,2011,1,TOR,AL,5.4,439.1
2011reyesjo03,2011,2,BAL,AL,6.16,439.1
2010johnsji04,2010,1,BAL,AL,3.42,440
2010kershcl01,2010,1,LAN,NL,2.91,440
2010oflaher01,2010,1,ATL,NL,2.45,440
2010owingmi01,2010,1,CIN,NL,5.4,440
2010parrama01,2010,1,MIL,NL,5.02,440
