ID,playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
2010aardsda01,aardsda01,2010,1,SEA,AL,0,6,53,0,0,0,31,149,33,19,5,25,49,0.198,3.44,5.0,2,2.0,0,202.0,43,19,7.0,1.0,5.0
2010abadfe01,abadfe01,2010,1,HOU,NL,0,1,22,0,0,0,0,57,14,6,3,5,12,0.2,2.84,0.0,0,0.0,0,76.0,6,6,0.0,1.0,0.0
2010accarje01,accarje01,2010,1,TOR,AL,0,1,5,0,0,0,0,20,12,6,0,3,3,0.4,8.1,0.0,2,1.0,0,34.0,2,6,0.0,0.0,2.0
2010aceveal01,aceveal01,2010,1,NYA,AL,3,0,10,0,0,0,1,36,10,4,1,4,2,0.208,3.0,1.0,0,1.0,0,53.0,2,5,0.0,0.0,0.0
2010acostma01,acostma01,2010,1,NYN,NL,3,2,41,0,0,0,1,119,30,13,4,18,42,0.219,2.95,1.0,3,0.0,0,157.0,12,13,1.0,1.0,4.0
2010adamsmi03,adamsmi03,2010,1,SDN,NL,4,1,70,0,0,0,0,200,48,13,2,23,73,0.196,1.76,2.0,0,0.0,0,268.0,3,14,0.0,0.0,2.0
2010affelje01,affelje01,2010,1,SFN,NL,4,3,53,0,0,0,4,150,56,23,4,24,44,0.29,4.14,5.0,4,3.0,0,228.0,14,25,7.0,1.0,4.0
2010albaljo01,albaljo01,2010,1,NYA,AL,0,0,10,0,0,0,0,34,9,5,1,8,8,0.231,3.97,1.0,0,2.0,0,50.0,5,5,0.0,1.0,2.0
2010alberma01,alberma01,2010,1,BAL,AL,5,3,62,0,0,0,0,227,78,38,6,34,49,0.269,4.52,5.0,2,2.0,0,329.0,19,41,3.0,0.0,12.0
2010ambrihe01,ambrihe01,2010,1,CLE,AL,0,2,34,0,0,0,0,145,68,30,10,17,37,0.338,5.59,1.0,4,1.0,0,224.0,20,31,2.0,3.0,6.0
2010anderbr04,anderbr04,2010,1,OAK,AL,7,6,19,19,0,0,0,337,112,35,6,22,75,0.257,2.8,2.0,4,7.0,2,470.0,0,41,3.0,2.0,12.0
2010arrieja01,arrieja01,2010,1,BAL,AL,6,6,18,18,0,0,0,301,106,52,9,48,52,0.271,4.66,3.0,5,4.0,0,449.0,0,57,4.0,2.0,10.0
2010arroybr01,arroybr01,2010,1,CIN,NL,17,10,33,33,2,0,0,647,188,93,29,59,121,0.234,3.88,5.0,1,6.0,1,880.0,0,95,6.0,5.0,19.0
2010atchisc01,atchisc01,2010,1,BOS,AL,2,3,43,1,0,0,0,180,58,30,9,19,41,0.252,4.5,2.0,4,1.0,0,253.0,8,37,1.0,2.0,6.0
2010atilalu01,atilalu01,2010,1,WAS,NL,6,7,16,16,0,0,0,257,96,49,11,32,40,0.282,5.15,5.0,1,2.0,1,385.0,0,56,7.0,3.0,4.0
2010atkinmi01,atkinmi01,2010,1,CHN,NL,0,0,5,0,0,0,0,30,12,7,2,6,10,0.286,6.3,0.0,0,1.0,0,49.0,2,8,0.0,0.0,0.0
2010axforjo01,axforjo01,2010,1,MIL,NL,8,2,50,0,0,0,24,174,42,16,1,27,76,0.204,2.48,3.0,4,1.0,0,238.0,43,17,2.0,2.0,4.0
2010badenbu01,badenbu01,2010,1,FLO,NL,2,5,53,0,0,0,1,203,62,30,5,21,47,0.246,3.99,5.0,1,2.0,0,281.0,16,33,5.0,1.0,7.0
2010baezda01,baezda01,2010,1,PHI,NL,3,4,51,0,0,0,0,143,55,29,6,23,28,0.301,5.48,2.0,1,3.0,0,216.0,17,31,4.0,3.0,8.0
2010bailean01,bailean01,2010,1,OAK,AL,1,3,47,0,0,0,25,147,34,8,3,13,42,0.199,1.47,1.0,0,0.0,0,189.0,42,8,2.0,3.0,4.0
2010baileho02,baileho02,2010,1,CIN,NL,4,3,19,19,1,1,0,327,109,54,11,40,100,0.26,4.46,6.0,3,3.0,1,465.0,0,55,2.0,1.0,7.0
2010bakersc02,bakersc02,2010,1,MIN,AL,12,9,29,29,0,0,0,511,186,85,23,43,148,0.277,4.49,0.0,7,6.0,0,725.0,0,87,1.0,4.0,11.0
2010balesco01,balesco01,2010,1,WAS,NL,0,1,17,0,0,0,0,63,15,6,2,11,28,0.203,2.57,1.0,4,2.0,0,89.0,8,6,2.0,0.0,2.0
2010balfogr01,balfogr01,2010,1,TBA,AL,2,1,57,0,0,0,0,166,43,14,3,17,56,0.216,2.28,2.0,4,0.0,1,222.0,8,16,2.0,4.0,0.0
2010banksjo01,banksjo01,2010,1,HOU,NL,0,1,1,1,0,0,0,12,8,6,1,4,1,0.4,13.5,0.0,0,0.0,0,24.0,0,6,0.0,0.0,0.0
2010bannibr01,bannibr01,2010,1,KCA,AL,7,12,24,23,0,0,0,383,158,90,23,50,77,0.302,6.34,0.0,10,3.0,0,581.0,1,92,2.0,2.0,5.0
2010bardda01,bardda01,2010,1,BOS,AL,1,2,73,0,0,0,3,224,45,16,6,30,76,0.176,1.93,3.0,2,2.0,0,295.0,12,18,2.0,5.0,5.0
2010bassbr01,bassbr01,2010,1,PIT,NL,0,0,4,0,0,0,0,22,9,10,0,10,5,0.31,12.27,2.0,1,1.0,0,42.0,0,11,1.0,1.0,0.0
2010bastaan01,bastaan01,2010,1,PHI,NL,2,0,25,0,0,0,0,56,19,9,1,9,26,0.253,4.34,0.0,0,2.0,0,86.0,2,9,0.0,0.0,0.0
2010batismi01,batismi01,2010,1,WAS,NL,1,2,58,1,0,0,2,248,71,34,9,39,55,0.234,3.7,8.0,4,5.0,0,350.0,18,36,1.0,2.0,11.0
2010bautide01,bautide01,2010,1,SFN,NL,2,0,31,0,0,0,0,101,25,14,4,27,44,0.205,3.74,4.0,7,3.0,0,157.0,8,14,3.0,2.0,0.0
2010beachbr01,beachbr01,2010,1,ATL,NL,0,2,3,3,0,0,0,45,16,5,0,7,15,0.267,3.0,3.0,1,0.0,0,67.0,0,9,0.0,0.0,0.0
2010beckejo02,beckejo02,2010,1,BOS,AL,6,6,21,21,0,0,0,383,151,82,20,45,116,0.292,5.78,3.0,3,8.0,0,577.0,0,89,4.0,2.0,8.0
2010beimejo01,beimejo01,2010,1,COL,NL,1,2,71,0,0,0,0,135,46,17,5,15,21,0.269,3.4,3.0,2,0.0,1,188.0,11,18,1.0,1.0,5.0
2010belisma01,belisma01,2010,1,COL,NL,7,5,76,0,0,0,1,276,84,30,7,16,91,0.246,2.93,5.0,3,2.0,1,365.0,11,34,4.0,2.0,11.0
2010belisro01,belisro01,2010,1,LAN,NL,3,1,59,0,0,0,2,166,52,31,6,19,38,0.25,5.04,4.0,4,3.0,1,233.0,13,31,3.0,0.0,7.0
2010bellhe01,bellhe01,2010,1,SDN,NL,6,1,67,0,0,0,47,210,56,15,1,28,86,0.221,1.93,3.0,1,1.0,0,287.0,57,17,4.0,1.0,4.0
2010belltr01,belltr01,2010,1,LAA,AL,2,5,25,7,0,0,0,183,77,32,2,21,45,0.312,4.72,2.0,5,1.0,0,273.0,8,35,3.0,1.0,5.0
2010beltrom01,beltrom01,2010,1,TEX,AL,0,1,2,2,0,0,0,21,9,7,3,7,9,0.321,9.0,0.0,0,2.0,0,38.0,0,7,1.0,0.0,0.0
2010benoijo01,benoijo01,2010,1,TBA,AL,1,2,63,0,0,0,1,181,30,9,6,11,75,0.147,1.34,1.0,1,0.0,0,217.0,16,10,0.0,2.0,2.0
2010bensokr01,bensokr01,2010,1,ARI,NL,1,1,3,3,0,0,0,42,18,8,2,6,8,0.305,5.14,0.0,1,1.0,0,67.0,0,9,1.0,0.0,1.0
2010bergebr02,bergebr02,2010,1,BAL,AL,8,12,30,28,2,0,0,510,193,94,26,51,81,0.285,4.98,4.0,0,7.0,3,746.0,1,104,5.0,5.0,15.0
2010bergju01,bergju01,2010,1,CHN,NL,0,1,41,0,0,0,0,120,45,23,3,20,14,0.28,5.18,1.0,2,3.0,0,187.0,12,27,1.0,2.0,4.0
2010bergmja01,bergmja01,2010,1,WAS,NL,0,1,4,0,0,0,0,7,3,4,2,1,2,0.3,15.43,0.0,0,0.0,0,11.0,0,4,0.0,0.0,0.0
2010berkeja01,berkeja01,2010,1,BAL,AL,3,3,41,0,0,0,0,187,64,21,5,19,45,0.27,3.03,3.0,3,0.0,0,262.0,8,24,4.0,1.0,7.0
2010betanra01,betanra01,2010,1,COL,NL,5,1,72,0,0,0,1,187,52,25,9,8,89,0.22,3.61,2.0,7,0.0,0,248.0,18,25,3.0,1.0,0.0
2010billich01,billich01,2010,1,LAN,NL,12,11,31,31,1,1,0,575,176,76,8,69,171,0.244,3.57,7.0,4,10.0,0,817.0,0,82,7.0,11.0,14.0
2010bisenjo01,bisenjo01,2010,1,WAS,NL,0,0,5,0,0,0,0,14,6,5,1,6,5,0.3,9.64,0.0,0,0.0,0,26.0,2,6,0.0,0.0,1.0
2010blackni01,blackni01,2010,1,MIN,AL,10,12,28,26,1,0,0,483,194,97,25,40,68,0.302,5.42,1.0,3,4.0,1,692.0,2,101,2.0,3.0,21.0
2010blantjo01,blantjo01,2010,1,PHI,NL,9,6,29,28,0,0,0,527,206,94,27,43,134,0.291,4.82,6.0,2,3.0,0,765.0,0,104,5.0,7.0,13.0
2010blevije01,blevije01,2010,1,OAK,AL,2,1,63,0,0,0,1,146,54,20,7,18,46,0.274,3.7,1.0,0,1.0,0,220.0,9,20,3.0,1.0,0.0
2010boggsmi01,boggsmi01,2010,1,SLN,NL,2,3,61,0,0,0,0,202,60,27,5,27,52,0.243,3.61,2.0,5,4.0,0,285.0,22,29,4.0,3.0,10.0
2010bondeje01,bondeje01,2010,1,DET,AL,8,10,30,29,0,0,0,513,187,105,25,60,112,0.277,5.53,1.0,8,10.0,0,754.0,0,113,3.0,5.0,17.0
