playerID,yearID_x,stint,teamID_x,lgID_x,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,yearID_y,teamID_y,lgID_y,salary
abadfe01,2016,1,MIN,AL,1,4,39,0,0,0,1,102,27,10,2,14,29,0.22,2.65,2.0,0,0.0,1,138.0,8,11,0.0,1.0,6.0,2016.0,MIN,AL,1250000.0
abadfe01,2016,2,BOS,AL,0,2,18,0,0,0,0,38,13,9,2,8,12,0.255,6.39,0.0,1,1.0,0,60.0,7,9,0.0,0.0,1.0,2016.0,MIN,AL,1250000.0
achteaj01,2016,1,LAA,AL,1,0,27,0,0,0,0,113,43,13,7,12,14,0.295,3.11,1.0,0,1.0,0,160.0,17,13,0.0,1.0,7.0,,,,
adamsau01,2016,1,CLE,AL,0,0,19,0,0,0,0,55,27,20,5,7,17,0.333,9.82,1.0,0,0.0,0,88.0,11,22,0.0,0.0,2.0,,,,
adlemti01,2016,1,CIN,NL,4,4,13,13,0,0,0,209,64,31,13,20,47,0.251,4.0,1.0,0,5.0,0,287.0,0,32,6.0,1.0,8.0,,,,
alberan01,2016,1,MIN,AL,0,0,6,2,0,0,0,51,27,11,5,6,16,0.342,5.82,0.0,1,0.0,0,85.0,3,16,0.0,0.0,3.0,,,,
alberma01,2016,1,CHA,AL,2,6,58,1,0,0,0,154,67,36,10,19,30,0.321,6.31,1.0,4,3.0,0,237.0,11,44,3.0,2.0,4.0,2016.0,CHA,AL,2000000.0
albural01,2016,1,LAA,AL,0,0,2,0,0,0,0,6,2,1,1,2,1,0.2,4.5,0.0,0,0.0,0,12.0,1,3,0.0,0.0,0.0,,,,
alcanra01,2016,1,OAK,AL,1,3,5,5,0,0,0,67,31,18,9,4,14,0.333,7.25,0.0,1,4.0,1,103.0,0,18,0.0,2.0,2.0,,,,
alexasc01,2016,1,KCA,AL,0,0,17,0,0,0,0,57,24,7,1,7,16,0.316,3.32,0.0,0,0.0,0,84.0,4,7,0.0,1.0,4.0,,,,
allenco01,2016,1,CLE,AL,3,5,67,0,0,0,32,204,41,19,8,27,87,0.177,2.51,2.0,3,0.0,0,264.0,55,23,3.0,2.0,7.0,2016.0,CLE,AL,4150000.0
altavda01,2016,1,SEA,AL,0,0,15,0,0,0,0,37,11,1,0,1,10,0.244,0.73,0.0,1,1.0,0,48.0,7,1,0.0,1.0,1.0,,,,
alvarda01,2016,1,ATL,NL,3,1,16,0,0,0,0,45,11,5,3,5,28,0.2,3.0,2.0,4,1.0,0,61.0,4,5,0.0,0.0,1.0,,,,
alvarda01,2016,2,TEX,AL,0,0,10,0,0,0,0,35,17,10,3,2,13,0.362,7.71,0.0,1,2.0,0,52.0,5,11,0.0,1.0,3.0,,,,
alvarjo02,2016,1,LAA,AL,1,3,64,0,0,0,0,172,71,22,4,15,51,0.298,3.45,4.0,2,1.0,0,256.0,12,29,1.0,1.0,5.0,2016.0,LAA,AL,507500.0
amarial01,2016,1,SDN,NL,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,1.0,1,0,0.0,0.0,0.0,,,,
anderbr04,2016,1,LAN,NL,1,2,4,3,0,0,0,34,25,15,4,4,5,0.446,11.91,0.0,2,0.0,0,62.0,0,15,1.0,1.0,0.0,2016.0,LAN,NL,15800000.0
anderch01,2016,1,MIL,NL,9,11,31,30,0,0,0,455,155,74,28,53,120,0.266,4.39,0.0,4,4.0,0,647.0,1,83,4.0,3.0,12.0,2016.0,MIL,NL,520200.0
anderco01,2016,1,CLE,AL,2,5,19,9,0,0,0,182,85,45,13,13,54,0.333,6.68,3.0,5,1.0,0,270.0,2,45,0.0,1.0,4.0,2016.0,CLE,AL,511400.0
anderty01,2016,1,COL,NL,5,6,19,19,0,0,0,343,119,45,12,28,99,0.272,3.54,2.0,4,3.0,3,478.0,0,50,6.0,3.0,13.0,2016.0,COL,NL,509500.0
andrima01,2016,1,TBA,AL,8,8,29,19,1,1,1,383,131,62,17,25,109,0.265,4.37,1.0,3,1.0,4,527.0,3,64,0.0,6.0,13.0,,,,
antoldu01,2016,1,TOR,AL,0,0,1,0,0,0,0,6,4,3,1,1,1,0.4,13.5,0.0,0,0.0,0,11.0,0,3,0.0,0.0,0.0,,,,
