Year,Full Name,Age,Salary,ERA,Hits,Earned Runs,Strike Outs,Home Runs,Wins,Losses,Outs Pitched,Batters Faced by Pitcher,Games Finished,Weight,Height,League,Team,Games Started
1990,AbbottJim,23,185000,4.51,246,106,105,16,10,14,635,925,0,200,75,AL,CAL,33
1990,AbbottPaul,23,100000,5.97,37,23,25,0,0,5,104,162,0,185,75,AL,MIN,7
1990,AldredScott,22,100000,3.77,13,6,7,0,1,2,43,63,0,195,76,AL,DET,3
1990,AndersonAllan,26,300000,4.53,214,95,82,20,7,18,566,797,0,178,71,AL,MIN,31
1990,AppierKevin,23,100000,2.76,179,57,127,13,12,8,557,784,1,180,74,AL,KCA,24
1990,AquinoLuis,26,108000,3.16,59,24,28,6,4,1,205,287,3,155,72,AL,KCA,3
1990,ArmstrongJack,25,107500,3.42,151,63,110,9,12,9,498,704,1,220,77,NL,CIN,27
1990,BallardJeff,27,200000,4.93,152,73,50,22,2,11,400,578,6,195,75,AL,BAL,17
1990,BelcherTim,29,450000,4.0,136,68,102,17,9,9,459,627,0,210,75,NL,LAN,24
1990,BenesAndy,23,130000,3.6,177,77,140,18,10,11,577,811,1,235,78,NL,SDN,31
1990,BlackBuddy,33,775000,3.53,171,75,103,17,11,10,573,796,0,180,74,AL,CLE,29
1990,BlairWillie,25,100000,4.06,66,31,43,4,3,5,206,297,8,185,73,AL,TOR,6
1990,BlylevenBert,39,1175000,5.24,163,78,69,15,8,7,402,578,0,200,75,AL,CAL,23
1990,BoddickerMike,33,675000,3.36,225,85,143,16,17,8,684,956,0,172,71,AL,BOS,34
1990,BohanonBrian,22,100000,6.62,40,25,15,6,0,3,102,158,1,210,74,AL,TEX,6
1990,BoltonTom,28,135000,3.38,111,45,65,6,10,5,359,501,2,172,74,AL,BOS,16
1990,BosioChris,27,710000,4.0,131,59,76,15,4,9,398,557,0,220,75,AL,ML4,20
1990,BoydOil Can,31,400000,2.93,164,62,113,19,10,6,572,774,0,155,73,NL,MON,31
1990,BrownKevin,25,218000,3.6,175,72,88,13,12,10,540,757,0,195,76,AL,TEX,26
1990,BrowningTom,30,2125000,3.8,235,96,99,24,15,9,683,957,0,190,73,NL,CIN,35
1990,BurkettJohn,26,100000,3.79,201,86,118,18,14,7,612,857,1,175,74,NL,SFN,32
1990,CadaretGreg,28,265000,4.15,120,56,80,8,5,4,364,525,9,210,75,AL,NYA,6
1990,CandiottiTom,33,1050000,3.65,207,82,128,23,15,11,606,856,1,205,75,AL,CLE,29
1990,CaryChuck,30,200000,4.19,155,73,134,21,6,12,470,661,1,210,76,AL,NYA,27
1990,CasianLarry,25,100000,3.22,26,8,11,2,2,1,67,90,1,170,72,AL,MIN,3
