ERA,Hits,Earned Runs,Strike Outs,Home Runs,Wins,Losses,Outs Pitched,Batters Faced by Pitcher,Games Finished,Weight,Height,Games Started,salBin_low,salBin_mid,salBin_high,salBin_top
4.51,246,106,105,16,10,14,635,925,0,200,75,33,1,0,0,0
5.97,37,23,25,0,0,5,104,162,0,185,75,7,1,0,0,0
3.77,13,6,7,0,1,2,43,63,0,195,76,3,1,0,0,0
4.53,214,95,82,20,7,18,566,797,0,178,71,31,1,0,0,0
2.76,179,57,127,13,12,8,557,784,1,180,74,24,1,0,0,0
3.16,59,24,28,6,4,1,205,287,3,155,72,3,1,0,0,0
3.42,151,63,110,9,12,9,498,704,1,220,77,27,1,0,0,0
4.93,152,73,50,22,2,11,400,578,6,195,75,17,1,0,0,0
11.08,18,16,10,2,0,2,39,63,0,175,70,4,0,1,0,0
12.91,16,11,2,2,0,2,23,45,0,195,74,3,1,0,0,0
4.0,136,68,102,17,9,9,459,627,0,210,75,24,1,0,0,0
3.6,177,77,140,18,10,11,577,811,1,235,78,31,1,0,0,0
3.53,171,75,103,17,11,10,573,796,0,180,74,29,0,1,0,0
4.06,66,31,43,4,3,5,206,297,8,185,73,6,1,0,0,0
5.24,163,78,69,15,8,7,402,578,0,200,75,23,0,1,0,0
3.36,225,85,143,16,17,8,684,956,0,172,71,34,0,1,0,0
6.62,40,25,15,6,0,3,102,158,1,210,74,6,1,0,0,0
3.38,111,45,65,6,10,5,359,501,2,172,74,16,1,0,0,0
4.0,131,59,76,15,4,9,398,557,0,220,75,20,0,1,0,0
2.93,164,62,113,19,10,6,572,774,0,155,73,31,1,0,0,0
3.6,175,72,88,13,12,10,540,757,0,195,76,26,1,0,0,0
3.8,235,96,99,24,15,9,683,957,0,190,73,35,0,1,0,0
3.79,201,86,118,18,14,7,612,857,1,175,74,32,1,0,0,0
4.15,120,56,80,8,5,4,364,525,9,210,75,6,1,0,0,0
3.65,207,82,128,23,15,11,606,856,1,205,75,29,0,1,0,0
4.19,155,73,134,21,6,12,470,661,1,210,76,27,1,0,0,0
3.22,26,8,11,2,2,1,67,90,1,170,72,3,1,0,0,0
4.23,93,36,64,5,5,1,230,337,7,177,70,3,1,0,0,0
4.76,162,74,49,23,9,9,420,609,1,195,74,23,0,1,0,0
2.74,131,47,117,10,12,9,463,650,13,195,75,16,1,0,0,0
6.51,100,55,44,4,2,8,228,352,8,220,76,10,0,1,0,0
5.67,128,64,44,9,1,10,305,466,5,190,76,14,1,0,0,0
1.93,193,49,209,7,21,6,685,920,0,205,76,31,0,1,0,0
4.07,179,83,108,12,10,10,550,800,0,200,75,31,1,0,0,0
3.23,177,76,233,21,14,10,635,860,1,180,73,30,0,1,0,0
3.56,132,56,58,13,8,3,425,594,4,185,75,13,1,0,0,0
4.5,135,63,99,20,7,9,378,554,3,195,75,18,0,1,0,0
2.21,136,40,109,11,11,4,488,646,14,185,75,17,0,1,0,0
5.11,71,39,73,9,2,7,206,334,28,180,75,3,0,1,0,0
4.74,129,59,62,9,7,10,336,498,0,207,76,20,0,1,0,0
4.43,168,90,164,15,7,19,548,793,0,210,75,32,0,1,0,0
3.78,186,88,119,21,7,12,628,881,0,222,76,34,0,1,0,0
2.04,13,4,9,2,0,0,53,75,0,205,76,4,1,0,0,0
8.48,43,27,9,3,0,4,86,139,1,190,73,7,0,1,0,0
3.43,56,24,31,2,3,2,189,265,1,195,76,9,1,0,0,0
2.76,190,71,131,15,22,6,694,918,0,185,73,33,0,1,0,0
4.35,104,44,49,8,3,5,273,399,14,170,75,4,1,0,0,0
5.09,70,33,34,9,3,5,175,255,0,165,70,11,1,0,0,0
5.65,28,18,15,4,0,3,86,134,0,190,76,6,1,0,0,0
3.56,31,12,16,2,2,1,91,127,0,210,75,5,1,0,0,0
7.04,26,18,14,9,0,3,69,99,0,185,75,4,1,0,0,0
4.28,108,46,44,10,4,5,290,418,0,210,76,17,1,0,0,0
1.98,99,28,94,6,13,7,381,515,20,198,70,6,0,1,0,0
3.46,130,69,181,18,9,14,538,735,0,220,73,30,0,1,0,0
6.14,26,15,8,2,2,3,66,99,1,195,73,4,1,0,0,0
2.4,210,63,177,17,18,9,708,962,0,220,78,32,0,1,0,0
5.31,28,12,5,3,2,2,61,94,0,185,72,5,0,1,0,0
4.89,77,42,58,6,3,7,232,340,9,197,76,9,1,0,0,0
4.15,190,84,80,16,12,11,546,786,0,195,76,31,0,1,0,0
4.28,232,102,129,18,10,12,643,929,0,175,72,33,1,0,0,0
3.83,229,99,223,10,19,7,698,983,0,190,74,34,0,1,0,0
3.73,192,81,175,17,12,11,586,858,0,160,69,32,1,0,0,0
3.3,47,21,41,1,3,2,172,255,0,180,75,11,1,0,0,0
4.57,171,83,111,9,9,12,490,712,3,203,77,26,0,1,0,0
4.5,101,47,71,5,4,7,282,409,0,215,78,16,0,1,0,0
3.82,221,82,73,21,10,14,580,846,0,200,75,32,0,1,0,0
5.49,24,12,14,2,1,2,59,94,1,175,72,4,1,0,0,0
3.79,154,61,101,8,7,9,434,603,0,192,76,21,1,0,0,0
4.28,69,32,28,7,4,5,202,282,5,200,75,6,0,1,0,0
3.24,205,85,211,15,18,9,708,964,0,210,78,33,1,0,0,0
3.26,153,63,94,14,12,6,521,728,0,220,77,27,1,0,0,0
4.34,189,91,122,17,11,11,566,821,0,195,73,31,1,0,0,0
4.0,186,82,117,13,13,9,553,803,3,165,72,30,0,1,0,0
2.95,58,26,76,7,6,3,238,325,8,192,73,6,1,0,0,0
5.37,156,94,74,20,5,12,473,692,1,200,76,26,0,1,0,0
3.45,143,56,68,17,12,9,438,599,2,197,73,24,0,1,0,0
4.26,26,12,16,1,1,1,76,106,0,190,75,4,0,1,0,0
