Year,Full Name,Age,Salary,ERA,Hits,Earned Runs,Strike Outs,Home Runs,Wins,Losses,Outs Pitched,Batters Faced by Pitcher,Games Finished,Weight,Height,League,Team,Games Started
1990,AbbottJim,23.0,185000.0,4.51,246,106,105,16,10,14,635,925.0,0,200.0,75.0,AL,CAL,33
1990,AbbottPaul,23.0,100000.0,5.97,37,23,25,0,0,5,104,162.0,0,185.0,75.0,AL,MIN,7
1990,AndersonAllan,26.0,300000.0,4.53,214,95,82,20,7,18,566,797.0,0,178.0,71.0,AL,MIN,31
1990,AppierKevin,23.0,100000.0,2.76,179,57,127,13,12,8,557,784.0,1,180.0,74.0,AL,KCA,24
1990,ArmstrongJack,25.0,107500.0,3.42,151,63,110,9,12,9,498,704.0,1,220.0,77.0,NL,CIN,27
1990,BallardJeff,27.0,200000.0,4.93,152,73,50,22,2,11,400,578.0,6,195.0,75.0,AL,BAL,17
1990,BelcherTim,29.0,450000.0,4.0,136,68,102,17,9,9,459,627.0,0,210.0,75.0,NL,LAN,24
1990,BenesAndy,23.0,130000.0,3.6,177,77,140,18,10,11,577,811.0,1,235.0,78.0,NL,SDN,31
1990,BlackBuddy,33.0,775000.0,3.53,171,75,103,17,11,10,573,796.0,0,180.0,74.0,AL,CLE,29
1990,BlylevenBert,39.0,1175000.0,5.24,163,78,69,15,8,7,402,578.0,0,200.0,75.0,AL,CAL,23
1990,BoddickerMike,33.0,675000.0,3.36,225,85,143,16,17,8,684,956.0,0,172.0,71.0,AL,BOS,34
1990,BoltonTom,28.0,135000.0,3.38,111,45,65,6,10,5,359,501.0,2,172.0,74.0,AL,BOS,16
1990,BosioChris,27.0,710000.0,4.0,131,59,76,15,4,9,398,557.0,0,220.0,75.0,AL,ML4,20
1990,BoydOil Can,31.0,400000.0,2.93,164,62,113,19,10,6,572,774.0,0,155.0,73.0,NL,MON,31
1990,BrownKevin,25.0,218000.0,3.6,175,72,88,13,12,10,540,757.0,0,195.0,76.0,AL,TEX,26
1990,BrowningTom,30.0,2125000.0,3.8,235,96,99,24,15,9,683,957.0,0,190.0,73.0,NL,CIN,35
1990,BurkettJohn,26.0,100000.0,3.79,201,86,118,18,14,7,612,857.0,1,175.0,74.0,NL,SFN,32
1990,CandiottiTom,33.0,1050000.0,3.65,207,82,128,23,15,11,606,856.0,1,205.0,75.0,AL,CLE,29
1990,CaryChuck,30.0,200000.0,4.19,155,73,134,21,6,12,470,661.0,1,210.0,76.0,AL,NYA,27
1990,CeruttiJohn,30.0,762500.0,4.76,162,74,49,23,9,9,420,609.0,1,195.0,74.0,AL,TOR,23
