ID,yearID,teamID,lgID,playerID,salary
2010abreuto01,2010,ARI,NL,abreuto01,407000
2010boyerbl01,2010,ARI,NL,boyerbl01,725000
2010drewst01,2010,ARI,NL,drewst01,3400000
2010gutieju01,2010,ARI,NL,gutieju01,411000
2010harenda01,2010,ARI,NL,harenda01,8250000
2010heilmaa01,2010,ARI,NL,heilmaa01,2150000
2010howrybo01,2010,ARI,NL,howrybo01,2000000
2010jacksco01,2010,ARI,NL,jacksco01,3100000
2010jacksed01,2010,ARI,NL,jacksed01,4600000
2010johnske05,2010,ARI,NL,johnske05,2350000
2010kenneia01,2010,ARI,NL,kenneia01,403000
2010larocad01,2010,ARI,NL,larocad01,4500000
2010lopezro01,2010,ARI,NL,lopezro01,650000
2010montemi01,2010,ARI,NL,montemi01,2000000
2010norbejo01,2010,ARI,NL,norbejo01,400000
2010ojedaau01,2010,ARI,NL,ojedaau01,825000
2010parrage01,2010,ARI,NL,parrage01,405500
2010quallch01,2010,ARI,NL,quallch01,4185000
2010reynoma01,2010,ARI,NL,reynoma01,833333
2010rosalle01,2010,ARI,NL,rosalle01,409500
2010ryalru01,2010,ARI,NL,ryalru01,401000
2010snydech02,2010,ARI,NL,snydech02,5250000
2010uptonju01,2010,ARI,NL,uptonju01,708333
2010vasques01,2010,ARI,NL,vasques01,404500
2010webbbr01,2010,ARI,NL,webbbr01,8500000
2010youngch04,2010,ARI,NL,youngch04,3450000
2010cabreme01,2010,ATL,NL,cabreme01,3100000
2010chaveje01,2010,ATL,NL,chaveje01,415000
2010conrabr01,2010,ATL,NL,conrabr01,400000
2010diazma02,2010,ATL,NL,diazma02,2550000
2010escobyu01,2010,ATL,NL,escobyu01,435000
2010glaustr01,2010,ATL,NL,glaustr01,1750000
2010hansoto01,2010,ATL,NL,hansoto01,435000
2010hernadi01,2010,ATL,NL,hernadi01,400000
2010heywaja01,2010,ATL,NL,heywaja01,400000
2010hinsker01,2010,ATL,NL,hinsker01,1000000
2010hudsoti01,2010,ATL,NL,hudsoti01,9000000
2010infanom01,2010,ATL,NL,infanom01,2225000
2010jonesch06,2010,ATL,NL,jonesch06,14000000
2010jurrjja01,2010,ATL,NL,jurrjja01,480000
2010kawakke01,2010,ATL,NL,kawakke01,7333666
2010lowede01,2010,ATL,NL,lowede01,15000000
2010mccanbr01,2010,ATL,NL,mccanbr01,5700000
2010mclouna01,2010,ATL,NL,mclouna01,5000000
2010medlekr01,2010,ATL,NL,medlekr01,407500
2010moylape01,2010,ATL,NL,moylape01,1150000
2010oflaher01,2010,ATL,NL,oflaher01,440000
2010pradoma01,2010,ATL,NL,pradoma01,440000
2010reyesjo03,2010,ATL,NL,reyesjo03,410000
2010rossda01,2010,ATL,NL,rossda01,1600000
2010saitota01,2010,ATL,NL,saitota01,3200000
2010schafjo02,2010,ATL,NL,schafjo02,402500
2010wagnebi02,2010,ATL,NL,wagnebi02,6750000
2010alberma01,2010,BAL,AL,alberma01,680000
2010atkinga01,2010,BAL,AL,atkinga01,4000000
2010bergebr02,2010,BAL,AL,bergebr02,405000
2010berkeja01,2010,BAL,AL,berkeja01,400000
2010gonzami02,2010,BAL,AL,gonzami02,6000000
2010guthrje01,2010,BAL,AL,guthrje01,3000000
2010hendrma01,2010,BAL,AL,hendrma01,1200000
2010hernada01,2010,BAL,AL,hernada01,402500
2010izturce01,2010,BAL,AL,izturce01,2600000
2010johnsji04,2010,BAL,AL,johnsji04,440000
2010jonesad01,2010,BAL,AL,jonesad01,465000
2010lugoju01,2010,BAL,AL,lugoju01,9250000
2010markani01,2010,BAL,AL,markani01,7100000
2010matusbr01,2010,BAL,AL,matusbr01,1300000
2010meredcl01,2010,BAL,AL,meredcl01,850000
2010millwke01,2010,BAL,AL,millwke01,12000000
2010ohmanwi01,2010,BAL,AL,ohmanwi01,1350000
2010piefe01,2010,BAL,AL,piefe01,420000
2010reimono01,2010,BAL,AL,reimono01,400000
2010roberbr01,2010,BAL,AL,roberbr01,10000000
2010scottlu01,2010,BAL,AL,scottlu01,4050000
2010tatumcr01,2010,BAL,AL,tatumcr01,400000
2010tejadmi01,2010,BAL,AL,tejadmi01,6000000
2010ueharko01,2010,BAL,AL,ueharko01,5000000
2010wietema01,2010,BAL,AL,wietema01,400000
2010wiggity01,2010,BAL,AL,wiggity01,3500000
2010atchisc01,2010,BOS,AL,atchisc01,420000
2010bardda01,2010,BOS,AL,bardda01,415500
2010beckejo02,2010,BOS,AL,beckejo02,12100000
2010beltrad01,2010,BOS,AL,beltrad01,9000000
2010bonsebo01,2010,BOS,AL,bonsebo01,650000
2010buchhcl01,2010,BOS,AL,buchhcl01,443000
2010camermi01,2010,BOS,AL,camermi01,7750000
2010delcama01,2010,BOS,AL,delcama01,905000
2010drewjd01,2010,BOS,AL,drewjd01,14000000
2010ellsbja01,2010,BOS,AL,ellsbja01,496500
2010hallbi03,2010,BOS,AL,hallbi03,8525000
2010hermije01,2010,BOS,AL,hermije01,3345000
2010lackejo01,2010,BOS,AL,lackejo01,18700000
2010lestejo01,2010,BOS,AL,lestejo01,3750000
2010lowelmi01,2010,BOS,AL,lowelmi01,12500000
2010lowrije01,2010,BOS,AL,lowrije01,434000
2010martivi01,2010,BOS,AL,martivi01,7700000
2010matsuda01,2010,BOS,AL,matsuda01,8333333
2010okajihi01,2010,BOS,AL,okajihi01,2750000
2010ortizda01,2010,BOS,AL,ortizda01,13000000
2010papeljo01,2010,BOS,AL,papeljo01,9350000
2010pedrodu01,2010,BOS,AL,pedrodu01,3750000
2010ramirra02,2010,BOS,AL,ramirra02,1155000
2010schoesc01,2010,BOS,AL,schoesc01,500000
2010scutama01,2010,BOS,AL,scutama01,5500000
2010tazawju01,2010,BOS,AL,tazawju01,1100000
2010varitja01,2010,BOS,AL,varitja01,3000000
2010wakefti01,2010,BOS,AL,wakefti01,3500000
2010youklke01,2010,BOS,AL,youklke01,9375000
2010beckhgo01,2010,CHA,AL,beckhgo01,445000
2010buehrma01,2010,CHA,AL,buehrma01,14000000
2010castrra01,2010,CHA,AL,castrra01,800000
2010danksjo01,2010,CHA,AL,danksjo01,3450000
2010floydga01,2010,CHA,AL,floydga01,2750000
2010garcifr02,2010,CHA,AL,garcifr02,1000000
2010jenksbo01,2010,CHA,AL,jenksbo01,7500000
2010jonesan01,2010,CHA,AL,jonesan01,500000
2010konerpa01,2010,CHA,AL,konerpa01,12000000
2010kotsama01,2010,CHA,AL,kotsama01,1500000
2010linebsc01,2010,CHA,AL,linebsc01,5000000
2010lucydo01,2010,CHA,AL,lucydo01,400000
2010nixja01,2010,CHA,AL,nixja01,420000
2010peavyja01,2010,CHA,AL,peavyja01,15000000
2010penara01,2010,CHA,AL,penara01,1200000
2010pierrju01,2010,CHA,AL,pierrju01,7000000
2010pierzaj01,2010,CHA,AL,pierzaj01,6750000
2010putzjj01,2010,CHA,AL,putzjj01,3000000
2010quentca01,2010,CHA,AL,quentca01,3200000
2010ramiral03,2010,CHA,AL,ramiral03,1225000
2010riosal01,2010,CHA,AL,riosal01,10200000
2010santose01,2010,CHA,AL,santose01,400000
2010teahema01,2010,CHA,AL,teahema01,3750000
2010thornma01,2010,CHA,AL,thornma01,2250000
2010vizquom01,2010,CHA,AL,vizquom01,1375000
2010willira01,2010,CHA,AL,willira01,415000
2010bakerje03,2010,CHN,NL,bakerje03,975000
2010bergju01,2010,CHN,NL,bergju01,403000
2010byrdma01,2010,CHN,NL,byrdma01,3000000
2010carides01,2010,CHN,NL,carides01,403000
2010colvity01,2010,CHN,NL,colvity01,401000
2010dempsry01,2010,CHN,NL,dempsry01,13500000
2010fontemi01,2010,CHN,NL,fontemi01,1000000
2010fukudko01,2010,CHN,NL,fukudko01,14000000
2010gorzeto01,2010,CHN,NL,gorzeto01,800000
2010grabojo02,2010,CHN,NL,grabojo02,2700000
2010guzmaan01,2010,CHN,NL,guzmaan01,825000
2010hillko01,2010,CHN,NL,hillko01,700000
2010leede02,2010,CHN,NL,leede02,13250000
2010lillyte01,2010,CHN,NL,lillyte01,13000000
2010marmoca01,2010,CHN,NL,marmoca01,2125000
2010marshse01,2010,CHN,NL,marshse01,950000
2010nadyxa01,2010,CHN,NL,nadyxa01,3300000
2010ramirar01,2010,CHN,NL,ramirar01,16750000
2010russeja02,2010,CHN,NL,russeja02,400000
2010samarje01,2010,CHN,NL,samarje01,3000000
2010silvaca01,2010,CHN,NL,silvaca01,12750000
2010soriaal01,2010,CHN,NL,soriaal01,19000000
2010sotoge01,2010,CHN,NL,sotoge01,575000
2010theriry01,2010,CHN,NL,theriry01,2600000
2010tracych01,2010,CHN,NL,tracych01,900000
2010wellsra01,2010,CHN,NL,wellsra01,427000
2010zambrca01,2010,CHN,NL,zambrca01,18875000
2010arroybr01,2010,CIN,NL,arroybr01,11625000
2010baileho02,2010,CIN,NL,baileho02,418000
2010balenwl01,2010,CIN,NL,balenwl01,416000
2010bruceja01,2010,CIN,NL,bruceja01,440000
2010cabreor01,2010,CIN,NL,cabreor01,2020000
2010cordefr01,2010,CIN,NL,cordefr01,12125000
2010cuetojo01,2010,CIN,NL,cuetojo01,445000
2010dickech01,2010,CIN,NL,dickech01,415000
2010francju02,2010,CIN,NL,francju02,400000
2010gomesjo01,2010,CIN,NL,gomesjo01,800000
2010hanigry01,2010,CIN,NL,hanigry01,415000
2010haranaa01,2010,CIN,NL,haranaa01,12500000
2010hernara02,2010,CIN,NL,hernara02,3868376
2010herreda01,2010,CIN,NL,herreda01,412500
2010janispa01,2010,CIN,NL,janispa01,412500
2010lincomi01,2010,CIN,NL,lincomi01,2500000
2010masseni01,2010,CIN,NL,masseni01,1035000
2010milesaa01,2010,CIN,NL,milesaa01,2700000
2010ondrulo01,2010,CIN,NL,ondrulo01,400000
2010owingmi01,2010,CIN,NL,owingmi01,440000
2010phillbr01,2010,CIN,NL,phillbr01,6937500
2010rhodear01,2010,CIN,NL,rhodear01,2000000
2010rolensc01,2010,CIN,NL,rolensc01,7666666
2010stubbdr01,2010,CIN,NL,stubbdr01,400000
2010volqued01,2010,CIN,NL,volqued01,445000
2010vottojo01,2010,CIN,NL,vottojo01,525000
2010ambrihe01,2010,CLE,AL,ambrihe01,400000
2010brantmi02,2010,CLE,AL,brantmi02,400800
2010branyru01,2010,CLE,AL,branyru01,1500000
2010cabreas01,2010,CLE,AL,cabreas01,444600
2010carmofa01,2010,CLE,AL,carmofa01,5087500
2010choosh01,2010,CLE,AL,choosh01,461100
2010grudzma01,2010,CLE,AL,grudzma01,600000
2010hafnetr01,2010,CLE,AL,hafnetr01,11500000
2010huffda01,2010,CLE,AL,huffda01,410700
2010kearnau01,2010,CLE,AL,kearnau01,750000
2010laffeaa01,2010,CLE,AL,laffeaa01,421900
2010laporma01,2010,CLE,AL,laporma01,402700
2010lewisje01,2010,CLE,AL,lewisje01,422400
2010marsolo01,2010,CLE,AL,marsolo01,401200
2010martean01,2010,CLE,AL,martean01,413400
2010masteju01,2010,CLE,AL,masteju01,427000
2010peraljh01,2010,CLE,AL,peraljh01,4850000
2010perezch01,2010,CLE,AL,perezch01,423800
2010perezra01,2010,CLE,AL,perezra01,795000
2010redmomi01,2010,CLE,AL,redmomi01,850000
2010reyesan01,2010,CLE,AL,reyesan01,425000
2010sippto01,2010,CLE,AL,sippto01,407300
2010sizemgr01,2010,CLE,AL,sizemgr01,5766666
2010smithjo05,2010,CLE,AL,smithjo05,427500
2010talbomi01,2010,CLE,AL,talbomi01,400700
2010valbulu01,2010,CLE,AL,valbulu01,414700
2010westbja01,2010,CLE,AL,westbja01,11000000
2010woodke02,2010,CLE,AL,woodke02,10500000
2010wrighja01,2010,CLE,AL,wrighja01,900000
2010barmecl01,2010,COL,NL,barmecl01,3325000
2010belisma01,2010,COL,NL,belisma01,850000
2010betanra01,2010,COL,NL,betanra01,3775000
2010buchhta01,2010,COL,NL,buchhta01,1055000
2010cookaa01,2010,COL,NL,cookaa01,9625000
2010corpama01,2010,COL,NL,corpama01,2750000
2010daleyma01,2010,COL,NL,daleyma01,404000
2010delarjo01,2010,COL,NL,delarjo01,5600000
2010florera01,2010,COL,NL,florera01,650000
2010fowlede01,2010,COL,NL,fowlede01,406000
2010francje01,2010,COL,NL,francje01,5750000
2010giambja01,2010,COL,NL,giambja01,1750000
2010gonzaca01,2010,COL,NL,gonzaca01,406000
2010hammeja01,2010,COL,NL,hammeja01,1900000
2010hawpebr01,2010,COL,NL,hawpebr01,7500000
2010heltoto01,2010,COL,NL,heltoto01,17775000
2010iannech01,2010,COL,NL,iannech01,1750000
2010jimenub01,2010,COL,NL,jimenub01,1250000
2010moralfr01,2010,COL,NL,moralfr01,406000
2010morame01,2010,COL,NL,morame01,1275000
2010olivomi01,2010,COL,NL,olivomi01,2000000
2010reynogr01,2010,COL,NL,reynogr01,403000
2010rogeres01,2010,COL,NL,rogeres01,401000
2010smithgr02,2010,COL,NL,smithgr02,406000
2010smithse01,2010,COL,NL,smithse01,407000
2010spilbry01,2010,COL,NL,spilbry01,1300000
2010stewaia01,2010,COL,NL,stewaia01,408000
2010streehu01,2010,COL,NL,streehu01,7200000
2010tulowtr01,2010,COL,NL,tulowtr01,3500000
2010avilaal01,2010,DET,AL,avilaal01,404900
2010bondeje01,2010,DET,AL,bondeje01,12500000
2010bonined01,2010,DET,AL,bonined01,404000
2010cabremi01,2010,DET,AL,cabremi01,20000000
2010cokeph01,2010,DET,AL,cokeph01,425000
2010damonjo01,2010,DET,AL,damonjo01,8000000
2010everead01,2010,DET,AL,everead01,1550000
2010guillca01,2010,DET,AL,guillca01,13000000
2010ingebr01,2010,DET,AL,ingebr01,6600000
2010jacksau01,2010,DET,AL,jacksau01,400000
2010kellydo01,2010,DET,AL,kellydo01,405000
2010lairdge01,2010,DET,AL,lairdge01,3950000
2010minerza01,2010,DET,AL,minerza01,950000
2010nifu01,2010,DET,AL,nifu01,407500
2010ordonma01,2010,DET,AL,ordonma01,17825976
2010perryry01,2010,DET,AL,perryry01,408500
2010porceri01,2010,DET,AL,porceri01,1920000
