ID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,weight,height,bats,throws,salary
2010aardsda01,1,SEA,AL,0,6,53,0,0,0,31,149,33,19,5,25,49,0.198,3.44,5.0,2,2.0,0,202.0,43,19,7.0,1.0,5.0,215.0,75.0,R,R,2750000.0
2010accarje01,1,TOR,AL,0,1,5,0,0,0,0,20,12,6,0,3,3,0.4,8.1,0.0,2,1.0,0,34.0,2,6,0.0,0.0,2.0,195.0,72.0,R,R,1080000.0
2010aceveal01,1,NYA,AL,3,0,10,0,0,0,1,36,10,4,1,4,2,0.208,3.0,1.0,0,1.0,0,53.0,2,5,0.0,0.0,0.0,205.0,74.0,R,R,435650.0
2010adamsmi03,1,SDN,NL,4,1,70,0,0,0,0,200,48,13,2,23,73,0.196,1.76,2.0,0,0.0,0,268.0,3,14,0.0,0.0,2.0,210.0,77.0,R,R,1000000.0
2010affelje01,1,SFN,NL,4,3,53,0,0,0,4,150,56,23,4,24,44,0.29,4.14,5.0,4,3.0,0,228.0,14,25,7.0,1.0,4.0,225.0,76.0,L,L,4000000.0
2010alberma01,1,BAL,AL,5,3,62,0,0,0,0,227,78,38,6,34,49,0.269,4.52,5.0,2,2.0,0,329.0,19,41,3.0,0.0,12.0,225.0,73.0,L,R,680000.0
2010ambrihe01,1,CLE,AL,0,2,34,0,0,0,0,145,68,30,10,17,37,0.338,5.59,1.0,4,1.0,0,224.0,20,31,2.0,3.0,6.0,235.0,74.0,L,R,400000.0
2010anderbr04,1,OAK,AL,7,6,19,19,0,0,0,337,112,35,6,22,75,0.257,2.8,2.0,4,7.0,2,470.0,0,41,3.0,2.0,12.0,230.0,76.0,L,L,410000.0
2010arroybr01,1,CIN,NL,17,10,33,33,2,0,0,647,188,93,29,59,121,0.234,3.88,5.0,1,6.0,1,880.0,0,95,6.0,5.0,19.0,185.0,75.0,R,R,11625000.0
2010atchisc01,1,BOS,AL,2,3,43,1,0,0,0,180,58,30,9,19,41,0.252,4.5,2.0,4,1.0,0,253.0,8,37,1.0,2.0,6.0,200.0,74.0,R,R,420000.0
