playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,salary,birthYear,birthMonth,weight,height,throws,salary-bin
abadfe01,2016,1,16,0,1,4,39,0,0,0,1,102,27,10,2,14,29,0.22,2.65,2.0,0,0.0,1,138.0,8,11,0.0,1.0,6.0,1250000.0,1985.0,12.0,235.0,74.0,0,mid
alberma01,2016,1,4,0,2,6,58,1,0,0,0,154,67,36,10,19,30,0.321,6.31,1.0,4,3.0,0,237.0,11,44,3.0,2.0,4.0,2000000.0,1983.0,1.0,225.0,73.0,1,mid
allenco01,2016,1,7,0,3,5,67,0,0,0,32,204,41,19,8,27,87,0.177,2.51,2.0,3,0.0,0,264.0,55,23,3.0,2.0,7.0,4150000.0,1988.0,11.0,210.0,73.0,1,high
alvarjo02,2016,1,12,0,1,3,64,0,0,0,0,172,71,22,4,15,51,0.298,3.45,4.0,2,1.0,0,256.0,12,29,1.0,1.0,5.0,507500.0,1989.0,5.0,195.0,71.0,0,low
anderbr04,2016,1,13,1,1,2,4,3,0,0,0,34,25,15,4,4,5,0.446,11.91,0.0,2,0.0,0,62.0,0,15,1.0,1.0,0.0,15800000.0,1988.0,2.0,230.0,76.0,0,high
anderch01,2016,1,15,1,9,11,31,30,0,0,0,455,155,74,28,53,120,0.266,4.39,0.0,4,4.0,0,647.0,1,83,4.0,3.0,12.0,520200.0,1987.0,11.0,210.0,73.0,1,low
anderco01,2016,1,7,0,2,5,19,9,0,0,0,182,85,45,13,13,54,0.333,6.68,3.0,5,1.0,0,270.0,2,45,0.0,1.0,4.0,511400.0,1990.0,9.0,240.0,76.0,1,low
anderty01,2016,1,8,1,5,6,19,19,0,0,0,343,119,45,12,28,99,0.272,3.54,2.0,4,3.0,3,478.0,0,50,6.0,3.0,13.0,509500.0,1989.0,12.0,220.0,74.0,0,low
archech01,2016,1,26,0,9,19,33,33,0,0,0,604,183,90,30,67,233,0.238,4.02,0.0,11,3.0,0,850.0,0,100,6.0,4.0,12.0,2916667.0,1988.0,9.0,195.0,74.0,1,mid
arrieja01,2016,1,5,1,18,8,31,31,1,1,0,592,138,68,16,76,190,0.194,3.1,1.0,16,6.0,0,795.0,0,72,2.0,1.0,17.0,10700000.0,1986.0,3.0,230.0,76.0,1,high
axforjo01,2016,1,19,0,6,4,68,0,0,0,3,197,65,29,6,30,60,0.258,3.97,1.0,4,3.0,0,289.0,13,30,2.0,2.0,7.0,4500000.0,1983.0,4.0,234.0,77.0,1,high
baezpe01,2016,1,13,1,3,2,73,0,0,0,0,222,52,25,11,22,83,0.195,3.04,0.0,3,2.0,2,295.0,10,27,1.0,2.0,3.0,520000.0,1988.0,3.0,232.0,72.0,1,low
baileho02,2016,1,6,1,2,3,6,6,0,0,0,69,35,17,2,7,27,0.35,6.65,0.0,1,2.0,0,111.0,0,19,0.0,2.0,1.0,18000000.0,1986.0,5.0,223.0,76.0,1,high
barbajo01,2016,1,17,0,1,2,13,0,0,0,0,39,13,11,2,5,15,0.26,7.62,0.0,0,2.0,0,57.0,5,11,0.0,0.0,0.0,507500.0,1992.0,7.0,231.0,73.0,1,low
barneda01,2016,1,28,0,0,1,1,0,0,0,0,3,1,1,1,0,1,0.25,9.0,0.0,0,0.0,0,4.0,1,1,0.0,0.0,0.0,1050000.0,1985.0,11.0,180.0,70.0,1,mid
barnema01,2016,1,3,0,4,3,62,0,0,0,1,200,62,30,6,31,71,0.248,4.05,1.0,4,3.0,0,287.0,13,32,2.0,1.0,3.0,511000.0,1990.0,6.0,208.0,76.0,1,low
barneto01,2016,1,27,0,7,3,53,0,0,0,0,181,54,14,4,16,49,0.242,2.09,1.0,6,4.0,0,246.0,9,16,1.0,2.0,10.0,1500000.0,1983.0,11.0,190.0,73.0,1,mid
barreja01,2016,1,0,1,1,2,68,0,0,0,4,178,47,23,6,28,56,0.218,3.49,4.0,4,3.0,0,250.0,12,25,0.0,3.0,4.0,507500.0,1991.0,7.0,240.0,76.0,1,low
bassich01,2016,1,19,0,0,2,5,5,0,0,0,84,35,19,5,14,23,0.294,6.11,0.0,2,0.0,0,133.0,0,20,0.0,0.0,3.0,510000.0,1989.0,2.0,217.0,77.0,1,low
bastaan01,2016,1,18,1,0,0,41,0,0,0,0,131,41,23,8,21,46,0.244,4.74,2.0,1,3.0,2,195.0,11,24,2.0,1.0,2.0,5375000.0,1985.0,9.0,202.0,71.0,0,high
bauertr01,2016,1,7,0,12,8,35,28,1,0,0,570,179,90,20,70,168,0.248,4.26,1.0,3,9.0,0,811.0,3,96,4.0,7.0,12.0,1697500.0,1991.0,1.0,205.0,73.0,1,mid
baumabu01,2016,1,22,1,1,0,11,0,0,0,0,29,7,4,0,4,10,0.2,3.72,0.0,0,1.0,0,40.0,2,4,0.0,0.0,0.0,520000.0,1987.0,12.0,198.0,71.0,0,low
bedroca01,2016,1,12,0,2,0,45,0,0,0,1,121,30,5,1,14,51,0.207,1.12,1.0,3,2.0,0,162.0,9,7,0.0,1.0,3.0,510500.0,1991.0,10.0,225.0,73.0,1,low
belisma01,2016,1,29,1,0,0,40,0,0,0,0,138,43,9,2,7,32,0.244,1.76,3.0,2,1.0,0,186.0,6,13,1.0,1.0,4.0,1250000.0,1980.0,6.0,230.0,75.0,1,mid
benoijo01,2016,1,23,0,1,1,26,0,0,0,0,73,20,14,4,15,28,0.215,5.18,1.0,1,1.0,0,111.0,2,16,1.0,1.0,0.0,7500000.0,1977.0,7.0,250.0,76.0,1,high
bergmch01,2016,1,8,1,1,3,15,1,0,0,0,74,39,23,7,6,22,0.355,8.39,0.0,0,0.0,0,119.0,5,24,2.0,1.0,2.0,512500.0,1988.0,5.0,195.0,73.0,1,low
betande01,2016,1,17,0,3,6,73,0,0,0,12,219,54,25,5,28,126,0.201,3.08,0.0,6,1.0,0,299.0,20,31,1.0,1.0,4.0,507500.0,1988.0,3.0,265.0,80.0,1,low
bethach01,2016,1,22,1,0,0,2,0,0,0,0,5,1,0,0,3,1,0.167,0.0,0.0,0,1.0,0,10.0,1,0,0.0,0.0,0.0,511200.0,1991.0,9.0,205.0,75.0,1,low
bettich01,2016,1,8,1,14,8,32,32,1,1,0,558,204,99,22,59,138,0.278,4.79,5.0,4,7.0,0,814.0,0,107,10.0,3.0,11.0,512500.0,1989.0,4.0,201.0,72.0,1,low
biagijo01,2016,1,28,0,4,3,60,0,0,0,1,203,69,23,3,19,62,0.259,3.06,1.0,3,5.0,0,295.0,12,28,2.0,3.0,4.0,507500.0,1990.0,5.0,235.0,77.0,1,low
blantjo01,2016,1,13,1,7,2,75,0,0,0,0,240,55,22,7,26,80,0.194,2.48,4.0,3,2.0,0,315.0,15,23,0.0,3.0,5.0,4000000.0,1980.0,12.0,225.0,75.0,1,high
blazemi01,2016,1,15,1,3,1,41,0,0,0,0,124,52,26,7,27,36,0.311,5.66,3.0,2,2.0,0,201.0,7,31,1.0,4.0,5.0,514200.0,1989.0,3.0,205.0,72.0,1,low
blevije01,2016,1,18,1,4,2,73,0,0,0,2,126,36,13,4,15,52,0.229,2.79,3.0,1,1.0,0,178.0,8,14,2.0,3.0,1.0,4000000.0,1983.0,9.0,182.0,76.0,0,high
bolsimi01,2016,1,13,1,1,4,6,6,0,0,0,83,33,21,7,9,25,0.303,6.83,1.0,0,2.0,0,122.0,0,21,2.0,0.0,2.0,515000.0,1988.0,1.0,215.0,73.0,1,low
bowmama01,2016,1,25,1,2,5,59,0,0,0,0,203,59,26,4,20,52,0.229,3.46,2.0,0,1.0,0,281.0,12,31,1.0,1.0,8.0,507500.0,1991.0,5.0,185.0,72.0,1,low
boxbebr01,2016,1,26,0,4,3,27,0,0,0,0,73,23,13,3,19,22,0.25,4.81,1.0,0,2.0,0,114.0,3,13,0.0,1.0,1.0,519200.0,1988.0,5.0,211.0,70.0,1,low
